Date,Description,Amount,Categories
2025-07-01,	GCash Transfer to J Reyes,-500.00
2025-07-01,	Starbucks BGC,-180.00,
2025-06-30,	Shopee  Wireless Earbuds,-899.00
2025-06-29,	Salary Credit,+18500.00
2025-06-28,	Grab Ride  Home to Makati,-250.00
2025-06-27,	Netflix Monthly Subscription,-459.00
2025-06-26,	7-Eleven  Convenience Store,-120.00
2025-06-26,	Maya Cashback,+50.00
2025-06-25,	Jollibee SM Aura,-236.00
2025-06-24,	Transfer from M Santos,+1000.00
2025-06-24,	Lazada  Phone Case,-149.00
2025-06-23,	Load Purchase  Smart Prepaid,-300.00
2025-06-22,	Mercury Drug  Vitamins,-675.00
2025-06-21,	GCash QR Payment  Ministop,-87.00
2025-06-20,	Bank Transfer to Savings Account,-5000.00

